stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops,Nearest Metro,Metro Line,Metro Distance (m),Walking Time (min)
Avantika Sec 1,28.70365,77.100518,16,16,0.0017667844522968,0.0005647484300133,0.0002295484837597,"Rohini  Sec-1 Avantika (8 m), Avantika Sec 1 (17 m), Rohini Sector-1 Avantika (133 m), Rohini Sec 2 (233 m), Rohini Sec-3/4 Xing (352 m)",Rithala,Red Line,2009.83,24.12
Rohini Sec-3/4 Xing,28.706167,77.10272,21,21,0.0020191822311963,0.0013579280343334,0.000409261356597,"Rohini Sec-3/4 Xing (19 m), Rohini  Sec-1 Avantika (350 m), Avantika Sec 1 (352 m), Avantika Sec 1 (364 m), Vishram Chowk (419 m)",Rithala,Red Line,1680.03,20.16
Vishram Chowk,28.709155,77.105354,12,12,0.0017667844522968,0.0039916506173706,0.0004272671745054,"Visram Chowk (16 m), Rohini Sec. 3-4/5-6 xing (44 m), Rithala Crossing (Rohini Sec 6 Crossing) (332 m), Rithala Crossing (337 m), Rithala Crossing (387 m)",Rohini West,Red Line,1172.22,14.07
Ayodhya Chowk,28.706559,77.110366,11,11,0.0012619888944977,0.0008875418611902,0.0002390659361665,"Ayodhya Chowk (14 m), Ayodhya Chowk (16 m), Ayodhya Chowk (18 m), Nahar Pur Village (366 m), Naharpur Village (381 m)",Rohini West,Red Line,1052.04,12.62
Naharpur Village,28.704488,77.113473,4,4,0.000504795557799,0.0001171299647022,0.0001105743796082,"Nahar Pur Village (16 m), Naharpur Village (18 m), Nahar Pur Village (29 m), Ayodhya Chowk (366 m), Ayodhya Chowk (381 m)",Rohini West,Red Line,1175.22,14.1
Rohini Sec-7,28.7017,77.1175,4,4,0.0010095911155981,0.0028739974820772,0.0001686172555731,"Rohini Sec-7 (24 m), ROHINI SECTOR 7/8 Xing (31 m), ROHINI SECTOR 7/8 Xing (47 m), Hanuman Mandir (271 m), Hanuman Mandir Sec-8 (288 m)",Rohini East,Red Line,1059.38,12.71
Hanuman Mandir,28.703281,77.120058,4,4,0.0010095911155981,0.0053523845740115,0.0001365246834731,"Hanuman Mandir Sec-8 (18 m), hanuman mandir sec 8 (21 m), Hanuman Mandir (39 m), Nav Durga Mandir (256 m), Nav Durga Mandir (258 m)",Rohini East,Red Line,754.71,9.06
Nav Durga Mandir,28.705197,77.121734,7,7,0.0015143866733972,0.0029458257984569,0.0001999758535931,"Nav Durga Mandir (5 m), Nav Durga Mandir (14 m), Nav Durga Mandir (23 m), Hanuman Mandir (268 m), hanuman mandir sec 8 (282 m)",Rohini East,Red Line,497.26,5.97
Sai Baba Chowk Rohini Sec 7,28.707658,77.123974,11,11,0.0015143866733972,0.0003500065870576,0.0001761674904657,"Rohini Sec 7 8 Xing (130 m), Rohini Sec 7 and 8 Crossing (144 m), Sai Baba Chowk Rohini (159 m), Rohini Sector-7-8 Xing (150 m), Madhuvan Chowk (176 m)",Rohini East,Red Line,201.88,2.42
Rohini Sec 7 and 8 Crossing,28.708306,77.125246,21,21,0.0022715800100959,0.0020830657611875,0.0003950426099638,"Rohini Sector-7-8 Xing (27 m), Rohini Sec 7 8 Xing (39 m), Sai Baba Chowk Rohini Sec 7 (144 m), Sai Baba Chowk Rohini (177 m), Madhuvan Chowk (189 m)",Rohini East,Red Line,110.88,1.33
