stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops
Avantika Sec 1,28.70365,77.100518,16,16,0.0017667844522968198,0.0005647484300133816,0.00022954848375973433,"Rohini  Sec-1 Avantika (8 m), Avantika Sec 1 (17 m), Rohini Sector-1 Avantika (133 m), Rohini Sec 2 (233 m), Rohini Sec-3/4 Xing (352 m)"
Rohini Sec-3/4 Xing,28.706167,77.10272,21,21,0.0020191822311963654,0.0013579280343334634,0.0004092613565970106,"Rohini Sec-3/4 Xing (19 m), Rohini  Sec-1 Avantika (350 m), Avantika Sec 1 (352 m), Avantika Sec 1 (364 m), Vishram Chowk (419 m)"
Vishram Chowk,28.709155,77.105354,12,12,0.0017667844522968198,0.003991650617370671,0.00042726717450541663,"Visram Chowk (16 m), Rohini Sec. 3-4/5-6 xing (44 m), Rithala Crossing (Rohini Sec 6 Crossing) (332 m), Rithala Crossing (337 m), Rithala Crossing (387 m)"
Ayodhya Chowk,28.706559,77.110366,11,11,0.0012619888944977284,0.0008875418611902508,0.00023906593616654538,"Ayodhya Chowk (14 m), Ayodhya Chowk (16 m), Ayodhya Chowk (18 m), Nahar Pur Village (366 m), Naharpur Village (381 m)"
Naharpur Village,28.704488,77.113473,4,4,0.0005047955577990914,0.00011712996470229404,0.00011057437960825746,"Nahar Pur Village (16 m), Naharpur Village (18 m), Nahar Pur Village (29 m), Ayodhya Chowk (366 m), Ayodhya Chowk (381 m)"
Rohini Sec-7,28.7017,77.1175,4,4,0.0010095911155981827,0.0028739974820772454,0.00016861725557318065,"Rohini Sec-7 (24 m), ROHINI SECTOR 7/8 Xing (31 m), ROHINI SECTOR 7/8 Xing (47 m), Hanuman Mandir (271 m), Hanuman Mandir Sec-8 (288 m)"
Hanuman Mandir,28.703281,77.120058,4,4,0.0010095911155981827,0.005352384574011513,0.00013652468347318225,"Hanuman Mandir Sec-8 (18 m), hanuman mandir sec 8 (21 m), Hanuman Mandir (39 m), Nav Durga Mandir (256 m), Nav Durga Mandir (258 m)"
Nav Durga Mandir,28.705197,77.121734,7,7,0.001514386673397274,0.0029458257984569516,0.00019997585359312272,"Nav Durga Mandir (5 m), Nav Durga Mandir (14 m), Nav Durga Mandir (23 m), Hanuman Mandir (268 m), hanuman mandir sec 8 (282 m)"
Sai Baba Chowk Rohini Sec 7,28.707658,77.123974,11,11,0.001514386673397274,0.0003500065870576985,0.0001761674904657169,"Rohini Sec 7 8 Xing (130 m), Rohini Sec 7 and 8 Crossing (144 m), Sai Baba Chowk Rohini (159 m), Rohini Sector-7-8 Xing (150 m), Madhuvan Chowk (176 m)"
Rohini Sec 7 and 8 Crossing,28.708306,77.125246,21,21,0.002271580010095911,0.002083065761187516,0.0003950426099638927,"Rohini Sector-7-8 Xing (27 m), Rohini Sec 7 8 Xing (39 m), Sai Baba Chowk Rohini Sec 7 (144 m), Sai Baba Chowk Rohini (177 m), Madhuvan Chowk (189 m)"
