stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops,Nearest Metro,Metro Line,Metro Distance (m),Walking Time (min),PR_norm,Degree_norm,Distance_norm,Routes_norm,Accessibility,LMCI,Betweenness_norm,PageRank_norm,Trips_norm,LMCI Category
Avantika Sec 1,28.70365,77.100518,16,16,0.0017667844522968,0.0005647484300133,0.0002295484837597,"Rohini  Sec-1 Avantika (8 m), Avantika Sec 1 (17 m), Rohini Sector-1 Avantika (133 m), Rohini Sec 2 (233 m), Rohini Sec-3/4 Xing (352 m)",Rithala,Red Line,2009.83,24.12,0.10700500570387454,0.2400000000000057,0.11687521380250813,0.045180722891566265,0.8831247861974919,0.335,0.004793336361448295,0.10700500570387454,0.045180722891566265,Poor
Rohini Sec-3/4 Xing,28.706167,77.10272,21,21,0.0020191822311963,0.0013579280343334,0.000409261356597,"Rohini Sec-3/4 Xing (19 m), Rohini  Sec-1 Avantika (350 m), Avantika Sec 1 (352 m), Avantika Sec 1 (364 m), Vishram Chowk (419 m)",Rithala,Red Line,1680.03,20.16,0.2097448026849412,0.27999999999999875,0.09768825674452374,0.06024096385542169,0.9023117432554763,0.376,0.011525496092210484,0.2097448026849412,0.06024096385542169,Poor
Vishram Chowk,28.709155,77.105354,12,12,0.0017667844522968,0.0039916506173706,0.0004272671745054,"Visram Chowk (16 m), Rohini Sec. 3-4/5-6 xing (44 m), Rithala Crossing (Rohini Sec 6 Crossing) (332 m), Rithala Crossing (337 m), Rithala Crossing (387 m)",Rohini West,Red Line,1172.22,14.07,0.22003852314681294,0.2400000000000057,0.0681451134345933,0.03313253012048193,0.9318548865654067,0.381,0.03387937536362773,0.22003852314681294,0.03313253012048193,Poor
Ayodhya Chowk,28.706559,77.110366,11,11,0.0012619888944977,0.0008875418611902,0.0002390659361665,"Ayodhya Chowk (14 m), Ayodhya Chowk (16 m), Ayodhya Chowk (18 m), Nahar Pur Village (366 m), Naharpur Village (381 m)",Rohini West,Red Line,1052.04,12.62,0.11244602455029214,0.1600000000000038,0.061153335086416925,0.030120481927710847,0.938846664913583,0.339,0.0075330650772243695,0.11244602455029214,0.030120481927710847,Poor
Naharpur Village,28.704488,77.113473,4,4,0.000504795557799,0.0001171299647022,0.0001105743796082,"Nahar Pur Village (16 m), Naharpur Village (18 m), Nahar Pur Village (29 m), Ayodhya Chowk (366 m), Ayodhya Chowk (381 m)",Rohini West,Red Line,1175.22,14.1,0.03898886911027828,0.03999999999999303,0.06831964609430813,0.009036144578313254,0.9316803539056919,0.297,0.0009941476398774378,0.03898886911027828,0.009036144578313254,Poor
Rohini Sec-7,28.7017,77.1175,4,4,0.0010095911155981,0.0028739974820772,0.0001686172555731,"Rohini Sec-7 (24 m), ROHINI SECTOR 7/8 Xing (31 m), ROHINI SECTOR 7/8 Xing (47 m), Hanuman Mandir (271 m), Hanuman Mandir Sec-8 (288 m)",Rohini East,Red Line,1059.38,12.71,0.0721713184177903,0.11999999999999496,0.061580358327185905,0.009036144578313254,0.9384196416728141,0.323,0.024393226968735544,0.0721713184177903,0.009036144578313254,Poor
Hanuman Mandir,28.703281,77.120058,4,4,0.0010095911155981,0.0053523845740115,0.0001365246834731,"Hanuman Mandir Sec-8 (18 m), hanuman mandir sec 8 (21 m), Hanuman Mandir (39 m), Nav Durga Mandir (256 m), Nav Durga Mandir (258 m)",Rohini East,Red Line,754.71,9.06,0.05382436146307458,0.11999999999999496,0.04385540318207945,0.009036144578313254,0.9561445968179205,0.326,0.04542868689065689,0.05382436146307458,0.009036144578313254,Poor
Nav Durga Mandir,28.705197,77.121734,7,7,0.0015143866733972,0.0029458257984569,0.0001999758535931,"Nav Durga Mandir (5 m), Nav Durga Mandir (14 m), Nav Durga Mandir (23 m), Hanuman Mandir (268 m), hanuman mandir sec 8 (282 m)",Rohini East,Red Line,497.26,5.97,0.0900986707733584,0.19999999999999685,0.02887759210088453,0.01807228915662651,0.9711224078991154,0.35,0.02500287413619437,0.0900986707733584,0.01807228915662651,Poor
Sai Baba Chowk Rohini Sec 7,28.707658,77.123974,11,11,0.0015143866733972,0.0003500065870576,0.0001761674904657,"Rohini Sec 7 8 Xing (130 m), Rohini Sec 7 and 8 Crossing (144 m), Sai Baba Chowk Rohini (159 m), Rohini Sector-7-8 Xing (150 m), Madhuvan Chowk (176 m)",Rohini East,Red Line,201.88,2.42,0.07648770147804757,0.19999999999999685,0.011693106425361687,0.030120481927710847,0.9883068935746383,0.351,0.002970702017622434,0.07648770147804757,0.030120481927710847,Poor
Rohini Sec 7 and 8 Crossing,28.708306,77.125246,21,21,0.0022715800100959,0.0020830657611875,0.0003950426099638,"Rohini Sector-7-8 Xing (27 m), Rohini Sec 7 8 Xing (39 m), Sai Baba Chowk Rohini Sec 7 (144 m), Sai Baba Chowk Rohini (177 m), Madhuvan Chowk (189 m)",Rohini East,Red Line,110.88,1.33,0.20161610762066093,0.3200000000000076,0.006398949080678303,0.06024096385542169,0.9936010509193217,0.408,0.017680146284165622,0.20161610762066093,0.06024096385542169,Poor
Fire Station Sec-8,28.707061,77.127011,12,12,0.000504795557799,0.0,6.658573255945196e-05,"Fire Station Rohini Sec 8 (30 m), Rohini Sec 7 8 Xing (158 m), Rohini Sector-7-8 Xing (194 m), Rohini Sec 7 8 Xing (197 m), Rohini Sec 7 and 8 Crossing (221 m)",Rohini East,Red Line,111.65,1.34,0.01384106196709316,0.03999999999999303,0.006443745796671778,0.03313253012048193,0.9935562542033283,0.312,0.0,0.01384106196709316,0.03313253012048193,Poor
Madhuvan Chowk,28.705196,77.129655,54,54,0.0047955577990913,0.0057800759416269,0.0007446175665125,"Madhuvan Chowk (75 m), Rohini Sec 7 8 Xing (179 m), Madhuban Chowk (Outer Ring Road) (230 m), Madhuban Chowk Outer Ring Road (262 m), Madhuban Chowk (Outer Ring Road) (252 m)",Pitam Pura,Red Line,331.61,3.98,0.4014641179409562,0.7200000000000013,0.01924048040696362,0.15963855421686746,0.9807595195930364,0.534,0.0490587431686711,0.4014641179409562,0.15963855421686746,Moderate
Madhuban Chowk (Outer Ring Road),28.7054,77.132,39,39,0.0037859666834931,0.0012932217145862,0.0005131374508643,"Madhuban Chowk (Outer Ring Road) (56 m), Madhuvan Chowk (198 m), Madhuvan Chowk (230 m), Madhuban Chowk Pitampura Metro Stn (318 m), Madhuban Chowk Outer Ring Road (327 m)",Pitam Pura,Red Line,237.59,2.85,0.2691295794553312,0.5599999999999975,0.01377062685150063,0.11445783132530121,0.9862293731484993,0.466,0.010976297300719468,0.2691295794553312,0.11445783132530121,Poor
RU Block Power House,28.708375,77.134799,32,32,0.0025239777889954,0.002535496715935,0.0003587285734101,"Pitampura Power House (72 m), Pitampura Power House (78 m), Power House Pitam Pura (82 m), Pitampura RU-Block (169 m), Ptampura Power House (216 m)",Pitam Pura,Red Line,618.44,7.42,0.1808557876492147,0.36000000000000065,0.03592754800229917,0.09337349397590362,0.9640724519977009,0.406,0.021520181300083926,0.1808557876492147,0.09337349397590362,Poor
