Stop,Betweenness
ESI Hospital,0.11781948676822311
Prem Nagar,0.11668904196400784
Desu Office,0.09603253730283799
Radha Swami Satsang,0.07401520223591485
Ajmeri Gate / Kamla Market,0.05650794150236629
Health Centre,0.046390415654888585
Pipal Wala Road Crossing Mohan Garden,0.045333796209033564
Govt Co-Edu Sr Sec School Sec-22 Dwarka,0.041872870736168646
Shivaji Park,0.041179796974087794
Super Bazar,0.04105935556435724
Nangloi JJ Colony Lokesh Cinema,0.04043263739595703
Telephone Exchange,0.04029872934643546
Regal,0.039397854509220294
Prehlad Pur,0.0380745425198349
Vishal Enclave (Bawana Road),0.0379492753139628
ISBT Nityanand Marg,0.037308878970581875
Punjabi Bagh Club,0.03720327534594667
Power House,0.036342419247949016
Rohini Sec-23 Pkt-C Crossing,0.035872320161922044
Rajeev Nagar,0.03574161805111509
Radha Swami Satsang Sec-23 Dwarka,0.034299275084353154
Vinod Nagar,0.03398865552114133
Tehkhand Depot DTC,0.033676863036464694
Palam Colony Flyover,0.03332327248150844
Maharaja Agrasen Hospital,0.03269704945949261
Sultanpuri Crossing,0.03263729494395464
Okhla Phase 1,0.030561973005462626
Air Force Station,0.03002211202719587
NAJAFGARH NANGLOI STAND,0.028980100870201767
CRPF Camp,0.02857716414456365
Keshav Kunj Apartments,0.02854389477977063
Madangir DDA Flats,0.02810498467923155
Jharoda Crossing,0.02785708106864251
Ganesh Nagar,0.02779472028129648
New Anaj Mandi,0.027664205388375083
Jain Mandir,0.0268444249009592
Shani Mandir / Palla Crossing,0.026630020288269555
NajafGarh Terminal,0.02625416315263184
Dhaula Kuan,0.025705276044763255
Dholi Piao,0.025530437285543654
Dwarka Sec 22 Cluster Depot,0.02544938912794653
Kalkaji Depot,0.025431564491266608
Udyog Bhawan,0.02502884993121153
Ahinsa Sthal,0.024981445067089575
Punjabi Bagh Terminal,0.024577118346030418
Khajuri,0.02454267372405095
Azad Market,0.023922434633477534
Rajouri Garden Market,0.023151830792082675
I Block Ashok Vihar,0.022754481729810563
Uttam Nagar Terminal,0.02221431222556097
Kasturi Ram School,0.022141610221944684
Krishna Nagar / Gopal Nagar,0.022045282993709486
Bakauli Village,0.021955362356034295
Indian Oil Station,0.02147855031837784
Safdurjung Terminal,0.021456866420773716
P S Sadar Bazar,0.021324007466022265
Sannoth Crossing / Ghoga Crossing,0.021296148218091206
Ambedkar Nagar Terminal / DIPSAR,0.0212465135596554
NHW 8 Crossing,0.021109636142841077
KarKarDooma Court,0.02096341109270332
Andheria Bagh More,0.020600911919773056
Dariyapur Gaon,0.020585759670244213
Kirbi Place,0.020251365756240012
Andheria More / Chhatarpur Metro Station,0.020249696344954188
Kaya Maya Hospital,0.02021938688650171
Sanjay Gandhi Transport Nagar,0.020152776052139425
Punjabi Bagh Terminal (Rohtak Road),0.020015270246458612
NITHARI VILLAGE,0.019538735391883968
GTB Hospital,0.01933584731169231
Samas Pur Jagir,0.019264682155725573
Golf Club,0.01918226111164197
Inderlok,0.019085117920629436
Shakurpur Shiv Mandir,0.018917129803684495
Naraina Vihar,0.018448319899700066
Budhpur GT Road,0.01814642520527912
Alipur Village GT Road,0.01807156236537443
Mahipal Pur Village,0.018019066390153
Badli Railway Staion,0.017924059400750866
Govt School Dilshad Garden,0.01789824726508238
Jail Road Rohini Sec 18,0.01729960169891585
Uttam Nagar,0.017077842718243263
Vasant Vihar Depot,0.01691660338892322
Karol Bagh Metro Station,0.01688889034213965
Krishna Vihar,0.01683167366322036
Nirman Bhawan,0.016825166565698085
Harewali Border,0.016634869356147632
Munim Ji Ka Bagh,0.01645381500180418
Chand Cinema,0.016131877479075702
Zakhira Flyover,0.015900311855287116
Jain Bekhunth Mandir,0.015887195573619305
More Lines,0.015759896290224
GTK Depot,0.015693670590491253
Mangol Puri S Block,0.01560496148925075
RAM NAGAR COLONY BQS,0.015528281464152267
Kanjhawala Chowk,0.01537300906681553
Tees Hazari Animal Hospital Mori Gate,0.01537263194075509
Rawta Crossing (Dhansa Road),0.015357986090004369
Libas Pur GT Road,0.015234201068935943
Kanjhawala School,0.01521476464446161
Khel Gaon,0.015140170785949446
Ghevra Crossing Rohtak Road,0.015107951899910163
Mayur Vihar Phase III (T) Paper Market,0.014897262955181912
Sampada Bhawan,0.014825299931533063
Nazafgarh Dhansa More,0.01473700417096611
Vivekanand Mahila College,0.014732553963426208
Raja Garden (Ring Road),0.014675462596663106
Dwarka Sec 22-23 / ClassicApartments,0.0146653672500869
Karala Village,0.014559028350034177
Shivam Plywood,0.014368927709289651
Nelson Mandela Marg Xing,0.014339965344844479
Lal Kuan,0.014319563275286636
Guru Govind Singh Marg,0.014315173285318887
Karala Crossing,0.014229384174218943
Mall Road,0.014134212260032088
St Stephen Hospital,0.014068911850440811
BDO Office,0.013906188570415643
Khora Cly Corner,0.013839897610827594
Mukarba Chowk,0.013783773400355618
Gurudwara Bangla Sahib,0.013773965222080752
Vidhya Vihar Marg,0.013661880267480829
Andrews Ganj,0.013597898252986592
Alipur Garhi,0.013578138797449258
Guru Hari Kishan Nagar,0.013525776271946162
APS Colony,0.013481207322678398
Kishan Ganj Dispensary,0.013260414633783118
Mcd Office,0.01320189733459913
Harewali Gaon,0.013163563952399482
Mansarovar Park Metro Station,0.013129736479760191
Wazirabad Crossing GT Road,0.01289449747504595
Samaspur Jagir Village,0.012855732453770351
Khalsa College,0.012832701275540837
Karala School,0.012823068924663287
Faiz Road,0.012628603528864807
Rajendra Place / Karol Bagh Telephone Exchange,0.012587910883599493
Garrison Engg.,0.012540311321198481
Maidan Garhi Crossing (SDM Court),0.012502002631963815
R R Line,0.012488757169346444
Old Delhi Railway Station (T),0.01227591436263255
Mandi House,0.012240669109250046
Rama Park,0.012222616976980669
Kalkaji Mandir (MaaAnandmayeeMarg),0.012186894120744243
Lal Bahadur Shashtri Hospital,0.012111935472569236
Peera Garhi Depot,0.012010326646822864
Ujwa Gaon,0.012009219364313813
BABA GANGANTH MANDIR,0.011994390657313182
Vasant Kunj Sec-A,0.011978008139642811
Yamuna Bazaar,0.011968907293963599
Badli Crossing,0.011890567836979097
Dilshad Garden School,0.011833301752078326
Ashok Vihar Crossing,0.011724679459567176
Check Post,0.011561882208397389
Surya Nagar (Gazipur Road),0.01153235146888044
Ali Village,0.011524759044857552
SJ Airport,0.011520363008477101
Surajkund Crossing,0.011454535058008888
Bhajan Pura,0.011400774749379521
Qamruddin Nagar Terminal,0.011358569463602829
Mangolpuri Y Block,0.011323409221335247
Katewara Village,0.011316229619857534
Dhaula Peer / Lado Sarai,0.011253104904594753
Inder Enclave,0.011194103512828018
Jhatikara Crossing,0.011143900160637757
NHAI Building/ Dwarka Sec-10 Metro Station,0.011112254220493832
Shastri Park,0.01103938726618667
Uttri Pitam Pura,0.011033389219525763
Shastri Bazar,0.01100303312094125
Delhi Jal Board,0.010998177624900914
Dispensary Paharganj,0.010990783831391552
Nangli Poona,0.010947574784854214
Haidarpur Water Works,0.010938785014866113
Hardev Puri,0.010923119760050138
Kalyan Puri Crossing,0.010916745142780892
Bajit Pur Crossing,0.010879252641428768
Hasanpur Village,0.010731614186985173
Sheikh Sarai Phase II,0.010725511178361463
Bharat Nagar Crossing,0.01069809094540181
Vasant Village / Shani Mandir,0.010697563592873419
GHOGA AIR FORCE STATION,0.010688749536825609
Rajni Gandha Chowk,0.010609042279144434
Holy Family Hospital,0.010605606358556062
Lajpat Nagar Ring Road,0.010589997159951976
Keshav Kunj / Pochan Pur Crossing,0.01053447125800011
Naya Bans,0.010526661309489767
Id Ghah,0.010476402968486606
Ashram Chowk,0.010335726365465672
Dwarka Sec-21 Metro Station (Road Crossing),0.010332495666151806
Sat Nagar Sablania Chowk,0.010327245475896002
Pandwala Crossing,0.010294090831853066
Model Basti,0.010291621074824701
DC Chowk Rohini,0.010164268313860098
Begumpur,0.010141539886056233
sant sarover,0.010087544558208851
Mahindra Park,0.010024762207465784
Prashant Vihar F-Block,0.009998336074779844
Guru Govind Singh Crossing (Faiz Road),0.009986137093550944
Dwarka Sec-21 Metro Station,0.00995072227432887
Rohini Sec 18 Block,0.009932373645037537
Vijay Bank,0.009891862150975624
Goela Dairy Crossing,0.009860381752009663
Gazipur NH-24 Crossing,0.009766869993070294
Kanhaiya Nagar,0.009766150419856725
Welcome Colony,0.009763654793201444
C-1 Janak Puri,0.009723796915841834
