Stop,Score
Radha Swami Satsang Sec-23 Dwarka,0.0017915789779786144
Vishal Enclave (Bawana Road),0.0014432290760600817
Dhaula Kuan,0.0013766347197164818
Prem Nagar,0.0013331117746792868
Krishna Nagar / Gopal Nagar,0.0013202332798252323
Madangir DDA Flats,0.0012984225473424212
Nangloi JJ Colony Lokesh Cinema,0.0012776776867502388
Ajmeri Gate / Kamla Market,0.0012176558378830993
Shani Mandir / Palla Crossing,0.001216613919072703
ISBT Nityanand Marg,0.001187618646854834
Ashok Vihar Crossing,0.0011433611709086035
Puspanjali G Block,0.0011236936472685149
Pipal Wala Road Crossing Mohan Garden,0.0010633796250153764
Nizamuddin Road Bridge,0.0010520586915617072
Desu Office,0.0010489887199340517
Guru Govind Singh Marg,0.0010386465634930281
Andrews Ganj,0.0010155749047756994
Dholi Piao,0.0010109621675747935
ESI Hospital,0.0010025015247622845
Govt Co-Edu Sr Sec School Sec-22 Dwarka,0.000995541187374239
M.C.D. Office,0.0009922311940037487
Bakauli Village,0.0009889612522823272
GHOGA AIR FORCE STATION,0.0009880969393062933
C-1 Janak Puri,0.000985404106880156
Check Post,0.0009841728417021496
Punjabi Bagh Terminal,0.0009817501039796792
Karol Bagh Metro Station,0.0009675390492363268
Vijay Bank,0.0009510567403804946
Azadpur Terminal,0.0009428565513059848
Ghevra Crossing Rohtak Road,0.0009339852699042146
Harewali Border,0.0009324122544679304
Ashok Vihar Phase 1,0.0009287335056789875
Mahipal Pur Village,0.0009215288102323744
SND,0.0009158444424959401
Peera Garhi Chowk,0.000912510320213961
Dera More,0.000905667948232197
DSIDC Office Bawana,0.0008952493511674094
Hardev Puri,0.0008941352822445076
NHW 8 Crossing,0.0008900505287547972
Naraina Vihar,0.0008749751394973288
Ambedkar Nagar Depot,0.0008715046474121861
Super Bazar,0.0008691713666512472
Shivaji Park,0.0008673832722981217
Rawta Crossing (Dhansa Road),0.0008640359840646836
Samalkha Crossing,0.0008618180127174284
Seelampur Metro Station,0.0008560101265734246
Vasant Vihar Depot,0.0008554890137204243
Delhi Secretariat,0.0008537988415108426
Sultanpuri AB Extension,0.000850401734916847
pfa gau shala,0.0008433865987718984
Noida Sec 43 Police Chowki,0.0008387065822581429
Harish Chandra Hospital,0.0008311286834221278
Ekta Apartment Paschim Vihar,0.0008251036425853364
Nand Nagari Terminal,0.0008201700348131598
CRPF Camp,0.000811225211329468
Vinod Nagar,0.0008090928122327503
Zafrabad School,0.0008072543117358024
Aakashwani Bhawan,0.0008030752144192658
Shastri Bazar,0.0007964180056943296
MODEL BASTI-DC2845,0.0007939694137063803
Bawana JJ Colony CRPF Camp,0.000792472924748852
Dhaula Kuan (Ring Road),0.0007847456222044865
B Block Prashant Vihar,0.0007792523713005986
Alipur Garhi,0.0007775146397471231
Narela Terminal,0.000774406712154233
NDPO,0.0007657957540271457
Qamruddin Nagar Terminal,0.0007648360713905631
